B,G,NIR,R,RE,RGB,size B,size G,size NIR,size R,size RE,size RGB
,212TG27651.tif,215TG27651.tif,,214TG27651.tif,,,512x489,512x488,,512x480,
,,,,214TG27981.tif,,,,,,512x510,
,212TG28451.tif,215TG28451.tif,,214TG28451.tif,,,512x505,512x504,,512x496,
,,,,214TG28461.tif,,,,,,512x504,
,,,,214TG28781.tif,,,,,,512x506,
,212TG29091.tif,215TG29091.tif,,214TG29091.tif,,,512x503,512x502,,512x494,
,212TG29101.tif,215TG29101.tif,,214TG29101.tif,,,512x505,512x504,,512x496,
,212TG29251.tif,215TG29251.tif,,214TG29251.tif,,,512x497,512x496,,512x488,
,212TG2926D.tif,215TG2926D.tif,,214TG2926D.tif,,,512x511,512x510,,512x502,
,,,,234D003741.tif,,,,,,512x506,
,,,,234E005790.tif,,,,,,512x508,
,,,,234J013121.tif,,,,,,512x507,
,,,,234J013561.tif,,,,,,512x507,
,,,,234T022831.tif,,,,,,512x510,
,,,,234T022861.tif,,,,,,512x504,
